GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
AA,Ambystoma mabeei,Mabee's Salamander,"Ambystoma mabeeiÿBishop, 1928",,,G3,S1S2,,LT,Rare List,,,,,,,,,,,,,,
AA,Ambystoma talpoideum,Mole Salamander,"Ambystoma talpoideumÿ(Holbrook, 1838)",,,G4G5,S2,,,Rare List,,,,,,,,,,,,,,
AA,Ambystoma tigrinum,Tiger Salamander,"Ambystoma tigrinumÿ(Green, 1825)",,,G5,S1,,LE,Rare List,,,,,,,,,,,,,,
AA,Anaxyrus quercicus,Oak Toad,"Anaxyrus quercicusÿ(Holbrook, 1840)",Bufo quercicus,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AA,Cryptobranchus alleganiensis,Hellbender,"Cryptobranchus alleganiensisÿ(Daudin, 1803)",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
AA,Desmognathus marmoratus,Shovel-nosed Salamander,"Desmognathus marmoratusÿ(Moore, 1899)",Leurognathus marmoratus,,G3,S1S2,,,Rare List,,,,,,,,,,,,,,
AA,Desmognathus mavrokoilius,Pisgah Black-bellied salamander,"Desmognathus mavrokoiliusÿPyron and Beamer, 2022",,,G4,S1S2,,,Rare List,,,,,,,,,,,,,,
AA,Desmognathus organi,Northern Pygmy Salamander,"Desmognathus organiÿCrespi, Browne, and Rissler, 2010",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
AA,Eurycea wilderae,Blue Ridge Two-lined Salamander,"Eurycea wilderaeÿDunn, 1920",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AA,Hyla gratiosa,Barking Treefrog,"Hyla gratiosaÿLeConte, 1856",,,G5,S2S3,,,Rare List,,,,,,,,,,,,,,
AA,Necturus maculosus,Mudpuppy,"Necturus maculosusÿ(Rafinesque, 1818)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AA,Necturus punctatus,Dwarf Waterdog,"Necturus punctatusÿ(Gibbes, 1850)",,,G5,S2S3,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon dixi,Dixie Caverns salamander,"Plethodon dixiÿPope and Fowler, 1949",,,G1,S1S2,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon hubrichti,Peaks of Otter Salamander,"Plethodon hubrichtiÿThurow, 1957",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon pauleyi,Yellow spotted woodland salamander,"Plethodon pauleyiÿFelix, Wooten, Pierson, and Camp, 2019",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon punctatus,Cow Knob Salamander,"Plethodon punctatusÿHighton, 1972",,,G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon shenandoah,Shenandoah Salamander,"Plethodon shenandoahÿHighton and Worthington, 1967",,,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
AA,Plethodon sherando,Big Levels Salamander,"Plethodon sherandoÿHighton, 2004",,,G2,S2,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon ventralis,Southern Zigzag Salamander,"Plethodon ventralisÿHighton, 1997",,,G4,S1,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon virginia,Shenandoah Mountain Salamander,"Plethodon virginiaÿHighton, 1999",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
AA,Plethodon welleri,Weller's Salamander,"Plethodon welleriÿWalker, 1931",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
