"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Acalypha deamii","Deam's Copperleaf","<i>Acalypha deamii</i> (Weatherby) Ahles","","","G4?","S3","","","Watch List"
"VAS","Aconitum reclinatum","White Monkshood","<i>Aconitum reclinatum</i> Gray","","","G3G4","S3","","","Watch List"
"VAS","Adlumia fungosa","Climbing Fumitory","<i>Adlumia fungosa</i> (Ait.) Greene ex B.S.P.","","","G4","S3","","","Watch List"
"VAS","Agalinis decemloba","Blue Ridge false foxglove","<i>Agalinis decemloba</i> (Greene) Pennell","","","G3G4","S3","","","Watch List"
"VAS","Agrostis scabra","Rough bentgrass","<i>Agrostis scabra</i> Willd.","","","G5","S3?","","","Watch List"
"VAS","Amelanchier sanguinea","Roundleaf Serviceberry","<i>Amelanchier sanguinea</i> (Pursh) DC.","","","G5","S3","","","Watch List"
"VAS","Amsonia tabernaemontana var. tabernaemontana","Eastern Blue-star","<i>Amsonia tabernaemontana</i> Walt. var. <i>tabernaemontana</i>","","","G5T5","S3","","","Watch List"
"VAS","Andropogon campbellii","Deceptive Bluestem","<i>Andropogon campbellii</i> U.B. Deshmuke, M.B. Shende, & E.S. Reddy","","Under <i>A. virginicus</i> L. in Radford et al. (1968)<br/>Under <i>A. virginicus</i> L. var. <i>virginicus</i> in Fernald (1950)<br/>Under <i>A. virginicus</i> var. <i>decipiens</i> in C. Campbell","G4","S3","","","Watch List"
"VAS","Andropogon perangustatus","Narrow-leaved Bluestem","<i>Andropogon perangustatus</i> Nash","<i>Andropogon gyrans</i> var. <i>stenophyllus</i>","","G4","S3","","","Watch List"
"VAS","Anemone quinquefolia var. minima","Dwarf Anemone","<i>Anemone quinquefolia</i> L. var. <i>minima</i> (DC.) Frodin","","","G5T3","S3","","","Watch List"
"VAS","Anticlea glauca","White Death-camas","<i>Anticlea glauca</i> (Nutt.) Kunth","<i>Zigadenus elegans</i> ssp. <i>glaucus</i>","","G5T4T5","S3","","","Watch List"
"VAS","Aristida lanosa","Woolly Three-awn Grass","<i>Aristida lanosa</i> Muhl. ex Ell.","","","G5","S3","","","Watch List"
"VAS","Aristida tuberculosa","Sea-beach Needlegrass","<i>Aristida tuberculosa</i> Nutt.","","","G4","S3","","","Watch List"
"VAS","Asclepias incarnata var. incarnata","Swamp Milkweed","<i>Asclepias incarnata</i> L. var. <i>incarnata</i>","","","G5T5","S3","","","Watch List"
"VAS","Asclepias lanceolata","Few-flower Milkweed","<i>Asclepias lanceolata</i> Walt.","","","G5","S3","","","Watch List"
"VAS","Asclepias purpurascens","Purple Milkweed","<i>Asclepias purpurascens</i> L.","","","G4G5","S3","","","Watch List"
"VAS","Asimina parviflora","Dwarf Pawpaw","<i>Asimina parviflora</i> (Michx.) Dunal","","","G5","S3","","","Watch List"
"VAS","Bacopa monnieri","Coastal Water-hyssop","<i>Bacopa monnieri</i> (L.) Pennell","","","G5?","S3","","","Watch List"
"VAS","Baptisia australis","Blue Wild Indigo","<i>Baptisia australis</i> (L.) R. Br. ex Ait. f.","","","G5","S3","","","Watch List"
"VAS","Bartonia paniculata ssp. paniculata","Twining Bartonia","<i>Bartonia paniculata</i> (Michx.) Muhl. ssp. <i>paniculata</i>","","","G5T5","S3","","","Watch List"
"VAS","Blephilia hirsuta","Hairy Wood Mint","<i>Blephilia hirsuta</i> (Pursh) Benth.","","","G5","S3","","","Watch List"
"VAS","Bolboschoenus novae-angliae","New England Bulrush","<i>Bolboschoenus novae-angliae</i> (Britt.) S.G. Sm.","<i>Schoenoplectus novae-angliae</i>","","G3","S3","","","Watch List"
"VAS","Bulbostylis ciliatifolia","Savanna Hairsedge","<i>Bulbostylis ciliatifolia</i> (Ell.) Fern.","","","G5","S3?","","","Watch List"
"VAS","Bulbostylis coarctata","Elliott's Hairsedge","<i>Bulbostylis coarctata</i> (Ell.) Fern.","<i>Bulbostylis ciliatifolia</i> var. <i>coarctata</i>","","G5T3T5","S3","","","Watch List"
"VAS","Callitriche palustris","Vernal Water-starwort","<i>Callitriche palustris</i> L.","<i>Callitriche verna</i>","","G5","S3","","","Watch List"
"VAS","Cardamine douglassii","Purple Cress","<i>Cardamine douglassii</i> Britt.","","","G5","S3","","","Watch List"
"VAS","Carex austrodeflexa","Canebrake Sedge","<i>Carex austrodeflexa</i> P.D. McMillan, Sorrie, & van Eerden","","","G3G4","S3","","","Watch List"
"VAS","Carex austrolucorum","Appalachian Woodland Sedge","<i>Carex austrolucorum</i> (Rettig) D.B. Poind. &amp; Naczi","<i>Carex lucorum</i> var. <i>austrolucorum</i>","","G3G4","S3","","","Watch List"
"VAS","Carex canescens var. disjuncta","Silvery Sedge","<i>Carex canescens</i> L. var. <i>disjuncta</i> Fern.","","","G5T5","S3","","","Watch List"
"VAS","Carex careyana","Carey's Sedge","<i>Carex careyana</i> Torr. ex Dewey","","","G4G5","S3","","","Watch List"
"VAS","Carex collinsii","Collins's Sedge","<i>Carex collinsii</i> Nutt.","","","G4","S3","","","Watch List"
"VAS","Carex conjuncta","Soft Fox Sedge","<i>Carex conjuncta</i> Boott","","","G4G5","S3","","","Watch List"
"VAS","Carex floridana","Florida Sedge","<i>Carex floridana</i> Schwein.","<i>Carex nigromarginata</i> var. <i>floridana</i>","","G5?","S3","","","Watch List"
"VAS","Carex fraseriana","Fraser's Sedge","<i>Carex fraseriana</i> Ker-Gawl.","<i>Cymophyllus fraserianus</i>","","G4","S3","","","Watch List"
"VAS","Carex leptonervia","Finely-nerved Sedge","<i>Carex leptonervia</i> (Fern.) Fern.","","","G5","S3","","","Watch List"
"VAS","Carex meadii","Mead's Sedge","<i>Carex meadii</i> Dewey","","","G5","S3","","","Watch List"
"VAS","Carex pedunculata var. pedunculata","Long-stalk Sedge","<i>Carex pedunculata</i> Muhl. ex Willd. var. <i>pedunculata</i>","","","GNR","S3","","","Watch List"
"VAS","Carex pellita","Woolly Sedge","<i>Carex pellita</i> Muhl. ex Willd.","","","G5","S3","","","Watch List"
"VAS","Carex purpurifera","Limestone Purple Sedge","<i>Carex purpurifera</i> Mackenzie","","","G4?","S3","","","Watch List"
"VAS","Carex ruthii","Ruth's Sedge","<i>Carex ruthii</i> Mackenzie","","","G3G4","S3","","","Watch List"
"VAS","Carex shortiana","Short's Sedge","<i>Carex shortiana</i> Dewey","","","G5","S3","","","Watch List"
"VAS","Carex striata var. brevis","Walter's Sedge","<i>Carex striata</i> Michx. var. <i>brevis</i> Bailey","<i>Carex walteriana</i> var. <i>brevis</i>","","G4T4","S3","","","Watch List"
