Region,Activity,Percentage response
Accomack-Northampton,Driving for pleasure,65.00%
Accomack-Northampton,Visiting natural areas,62.00%
Accomack-Northampton,Equestrian,3.00%
Accomack-Northampton,Downhill skiing ,5.00%
Accomack-Northampton,Snowboarding,8.00%
Accomack-Northampton,"Cross-country skiing, snowshoeing",4.00%
Accomack-Northampton,Snow sledding/tubing,10.00%
Accomack-Northampton,Ice skating (outdoor),4.00%
Accomack-Northampton,Other snow/ice-dependent activities,6.00%
Accomack-Northampton,Freshwater fishing,33.00%
Accomack-Northampton,Saltwater fishing,42.00%
Accomack-Northampton,Sunbathing/relaxing on a beach,44.00%
Accomack-Northampton,Jet ski/personal watercraft,9.00%
Accomack-Northampton,Powerboating,26.00%
Accomack-Northampton,Sailing,7.00%
Accomack-Northampton,Sail boarding,1.00%
Accomack-Northampton,Canoeing/kayaking,32.00%
Accomack-Northampton,Water-skiing or towed on water,6.00%
Accomack-Northampton,Whitewater rafting (guided or solo),1.00%
Accomack-Northampton,Tubing on water,7.00%
Accomack-Northampton,Swimming/outdoor pool,40.00%
Accomack-Northampton,Swimming/beach/lake river (open water),42.00%
Accomack-Northampton,Crew rowing,1.00%
Accomack-Northampton,Surfing,2.00%
Accomack-Northampton,Paddleboarding,5.00%
Accomack-Northampton,Kiteboarding,1.00%
Accomack-Northampton,Splash pads,0.00%
Accomack-Northampton,Viewing the water,48.00%
Accomack-Northampton,Other water-dependent activities,6.00%
Accomack-Northampton,Tennis,1.00%
Accomack-Northampton,Basketball,9.00%
Accomack-Northampton,Pickle ball,0.00%
Accomack-Northampton,Shuffleboard,1.00%
Accomack-Northampton,18-hole golf,12.00%
Accomack-Northampton,Par-3 golf,4.00%
Accomack-Northampton,Driving range,8.00%
Accomack-Northampton,Disc golf,2.00%
Accomack-Northampton,Racquetball,0.00%
Accomack-Northampton,Squash,0.00%
Accomack-Northampton,Miniature golf,7.00%
Accomack-Northampton,Archery,9.00%
Accomack-Northampton,Shooting range,16.00%
Accomack-Northampton,Other activities on courts & golf,0.00%
Accomack-Northampton,"Visiting working farms, petting zoos, corn mazes, etc. ",19.00%
Accomack-Northampton,Music festivals,21.00%
Accomack-Northampton,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",3.00%
Accomack-Northampton,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",26.00%
Accomack-Northampton,Culinary tours/trails (brewery/winery/food),14.00%
Accomack-Northampton,Nature-based tours/trails,16.00%
Accomack-Northampton,"Art-based tours/trails (artisan, music)",5.00%
Accomack-Northampton,Sporting events or tournaments,20.00%
Accomack-Northampton,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",9.00%
Accomack-Northampton,Other destination activities,2.00%
Accomack-Northampton,Hunting,20.00%
Accomack-Northampton,Picnicking away from home,22.00%
Accomack-Northampton,Nature study/nature programs,9.00%
Accomack-Northampton,Visiting gardens/arboretums,19.00%
Accomack-Northampton,Bird-watching away from home,9.00%
Accomack-Northampton,"Visiting parks (local, state & national)",45.00%
Accomack-Northampton,Visiting historic areas,38.00%
Accomack-Northampton,Geocaching ,1.00%
Accomack-Northampton,Viewing scenery,17.00%
Accomack-Northampton,Dog parks,7.00%
Accomack-Northampton,Zip line,8.00%
Accomack-Northampton,RV camping,6.00%
Accomack-Northampton,Tent camping,10.00%
Accomack-Northampton,Staying in cabins,7.00%
Accomack-Northampton,Paddle-in camping,1.00%
Accomack-Northampton,Visiting private farms and forests,11.00%
Accomack-Northampton,Gardening,37.00%
Accomack-Northampton,Visiting playgrounds,17.00%
Accomack-Northampton,Bicycle touring on roads,7.00%
Accomack-Northampton,Segway on sidewalks and paths,1.00%
Accomack-Northampton,Electric-assist bicycle on road or trail,0.00%
Accomack-Northampton,Orienteering,1.00%
Accomack-Northampton,Stargazing/Dark skies/Astronomy,13.00%
Accomack-Northampton,Other activities,0.00%
Accomack-Northampton,Walking for pleasure,64.00%
Accomack-Northampton,Jogging/running,11.00%
Accomack-Northampton,Hiking/backpacking day trips,15.00%
Accomack-Northampton,Fitness trail (not jogging),1.00%
Accomack-Northampton,Horseback riding,4.00%
Accomack-Northampton,Mountain biking,5.00%
Accomack-Northampton,Paved or gravel bicycle trails,4.00%
Accomack-Northampton,"Driving 4-wheel off road (Jeep, truck)",5.00%
Accomack-Northampton,Driving motorcycle off road/dirt bike,2.00%
Accomack-Northampton,ATV or UTV off road,5.00%
Accomack-Northampton,Other activities on trails,1.00%
Accomack-Northampton,Softball,3.00%
Accomack-Northampton,Baseball,5.00%
